n,seconds
1419,0.0015685200
1420,0.0015507410
1421,0.0016193870
1422,0.0016493760
1423,0.0015979290
1424,0.0016098370
1425,0.0015810920
1426,0.0016057580
1427,0.0016038950
1428,0.0017154440
1429,0.0015324920
1430,0.0016258860
1431,0.0016791460
1432,0.0017000290
1433,0.0016017110
1434,0.0016624350
1435,0.0015575180
1436,0.0016304650
1437,0.0015794090
1438,0.0016891750
1439,0.0016273050
1440,0.0016579810
1441,0.0016294430
1442,0.0017377600
1443,0.0017406630
1444,0.0016286620
1445,0.0015972420
1446,0.0016314370
1447,0.0016226100
1448,0.0020708890
1449,0.0017278140
1450,0.0016892140
1451,0.0017070580
1452,0.0016659110
1453,0.0016288720
1454,0.0017538560
1455,0.0015981450
1456,0.0016963730
1457,0.0016996800
1458,0.0016193940
1459,0.0016297630
1460,0.0016417430
1461,0.0017918380
1462,0.0016832930
1463,0.0017093430
1464,0.0017138010
1465,0.0016643990
1466,0.0016802690
1467,0.0017268560
1468,0.0016951160
1469,0.0017720330
1470,0.0017444880
1471,0.0017920790
1472,0.0017076280
1473,0.0016008990
1474,0.0016284520
1475,0.0016058890
1476,0.0016909280
1477,0.0017098040
1478,0.0016250350
1479,0.0018576520
1480,0.0017004630
1481,0.0017234270
1482,0.0017548330
1483,0.0017406810
1484,0.0016059290
1485,0.0015816630
1486,0.0017321060
1487,0.0017543060
1488,0.0016597190
1489,0.0016313370
1490,0.0017563270
1491,0.0015908310
1492,0.0018530670
1493,0.0016294630
1494,0.0018116800
1495,0.0019076140
1496,0.0016610620
